"Path","Method","Name","File","Line"
"/","POST","store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1114"
"/{competencyId}","DELETE","destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","142"
"/{employee}/image","GET","image.show","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","643"
"/{goalId}","DELETE","destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","128"
"/{goalId}/check-in","POST","check-in","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","131"
"/{goalId}/complete","POST","complete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","129"
"/{goalId}/key-results/{keyResultId}","PUT","key-results.update","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","132"
"/{goalId}/progress","PUT","update-progress","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","130"
"/{id}","DELETE","destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1117"
"/{id}/activate","POST","activate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1012"
"/{id}/adjustments","POST","adjustments.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1099"
"/{id}/adjustments/{adjustmentId}","DELETE","adjustments.destroy","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1101"
"/{id}/adjustments/{adjustmentId}/approve","POST","adjustments.approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1102"
"/{id}/adjustments/{adjustmentId}/reject","POST","adjustments.reject","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1103"
"/{id}/allocate","POST","allocate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","847"
"/{id}/approve","POST","approve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1118"
"/{id}/assign","POST","assign","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","977"
"/{id}/assign-employee","POST","assign-employee","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1060"
"/{id}/close","POST","close","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","980"
"/{id}/compensate","POST","compensate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","960"
"/{id}/complete","POST","complete","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1014"
"/{id}/investigate","POST","investigate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","978"
"/{id}/launch","POST","launch","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1076"
"/{id}/milestones","POST","milestones.store","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1055"
