"Section","Component","Route","URL","Status","Message"
"Self Service","My Dashboard","/hrm/employee/dashboard","http://aeos365.test/hrm/employee/dashboard","ERROR","The operation has timed out."
"Self Service","My Attendance","/hrm/attendance-employee","http://aeos365.test/hrm/attendance-employee","ERROR","The operation has timed out."
"Self Service","My Leaves","/hrm/leaves-employee","http://aeos365.test/hrm/leaves-employee","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Time-Off","/hrm/self-service/time-off","http://aeos365.test/hrm/self-service/time-off","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Payslips","/hrm/self-service/payslips","http://aeos365.test/hrm/self-service/payslips","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Documents","/hrm/self-service/documents","http://aeos365.test/hrm/self-service/documents","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Benefits","/hrm/self-service/benefits","http://aeos365.test/hrm/self-service/benefits","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Trainings","/hrm/self-service/trainings","http://aeos365.test/hrm/self-service/trainings","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Performance","/hrm/self-service/performance","http://aeos365.test/hrm/self-service/performance","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Goals","/hrm/goals","http://aeos365.test/hrm/goals","ACCESSIBLE","HTTP 200 OK"
"Self Service","My Career Path","/hrm/self-service/career-path","http://aeos365.test/hrm/self-service/career-path","ACCESSIBLE","HTTP 200 OK"
"Self Service","My 360? Feedback","/hrm/feedback-360","http://aeos365.test/hrm/feedback-360","ACCESSIBLE","HTTP 200 OK"
"Employees","Employee Directory","/hrm/employees","http://aeos365.test/hrm/employees","ACCESSIBLE","HTTP 200 OK"
"Employees","Organization Chart","/hrm/org-chart","http://aeos365.test/hrm/org-chart","ACCESSIBLE","HTTP 200 OK"
"Employees","Departments","/hrm/departments","http://aeos365.test/hrm/departments","ACCESSIBLE","HTTP 200 OK"
"Employees","Designations","/hrm/designations","http://aeos365.test/hrm/designations","ACCESSIBLE","HTTP 200 OK"
"Employees","Employee Onboarding Wizard","/hrm/onboarding","http://aeos365.test/hrm/onboarding","ACCESSIBLE","HTTP 200 OK"
"Employees","Employee Exit/Termination","/hrm/offboarding","http://aeos365.test/hrm/offboarding","ACCESSIBLE","HTTP 200 OK"
