"Section","Component","Route","Expected Path","Actual Path","Status"
"Self Service","My Dashboard","/hrm/employee/dashboard","Pages/HRM/Employee/Dashboard.jsx","packages\aero-ui\resources\js\Pages/HRM/Employee/Dashboard.jsx","Found"
"Self Service","My Attendance","/hrm/attendance-employee","Pages/HRM/AttendanceEmployee.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Tables\HRM\AttendanceEmployeeTable.jsx","Found"
"Self Service","My Leaves","/hrm/leaves-employee","Pages/HRM/LeavesEmployee.jsx","packages\aero-ui\resources\js\Pages/HRM/LeavesEmployee.jsx","Found"
"Self Service","My Time-Off","/hrm/self-service/time-off","Pages/HRM/SelfService/TimeOff.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/TimeOff.jsx","Found"
"Self Service","My Payslips","/hrm/self-service/payslips","Pages/HRM/SelfService/Payslips.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/Payslips.jsx","Found"
"Self Service","My Expenses","/hrm/my-expenses","Pages/HRM/MyExpenses.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\SelfService\MyExpenses.jsx","Found"
"Self Service","My Documents","/hrm/self-service/documents","Pages/HRM/SelfService/Documents.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/Documents.jsx","Found"
"Self Service","My Benefits","/hrm/self-service/benefits","Pages/HRM/SelfService/Benefits.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/Benefits.jsx","Found"
"Self Service","My Trainings","/hrm/self-service/trainings","Pages/HRM/SelfService/Trainings.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/Trainings.jsx","Found"
"Self Service","My Performance","/hrm/self-service/performance","Pages/HRM/SelfService/Performance.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/Performance.jsx","Found"
"Self Service","My Goals","/hrm/goals","Pages/HRM/Goals/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Goals/Index.jsx","Found"
"Self Service","My Career Path","/hrm/self-service/career-path","Pages/HRM/SelfService/CareerPath.jsx","packages\aero-ui\resources\js\Pages/HRM/SelfService/CareerPath.jsx","Found"
"Self Service","My 360? Feedback","/hrm/feedback-360","Pages/HRM/Feedback360/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Feedback360/Index.jsx","Found"
"Employees","Employee Directory","/hrm/employees","Pages/HRM/Employees/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Employees/Index.jsx","Found"
"Employees","Organization Chart","/hrm/org-chart","Pages/HRM/OrgChart.jsx","packages\aero-ui\resources\js\Pages/HRM/OrgChart.jsx","Found"
"Employees","Employee Profile","/hrm/employees/{id}","Pages/HRM/Employees/Show.jsx","packages\aero-ui\resources\js\Pages/HRM/Employees/Show.jsx","Found"
"Employees","Departments","/hrm/departments","Pages/HRM/Departments/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Employees","Designations","/hrm/designations","Pages/HRM/Designations/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Employees","Employee Documents","/hrm/employees/{id}/documents","Pages/HRM/Employees/Documents.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\DMS\Documents.jsx","Found"
"Employees","Employee Onboarding Wizard","/hrm/onboarding","Pages/HRM/Onboarding/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Onboarding/Index.jsx","Found"
"Employees","Employee Exit/Termination","/hrm/offboarding","Pages/HRM/Offboarding/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Offboarding/Index.jsx","Found"
"Employees","Custom Fields","/hrm/employees","Pages/HRM/Employees/CustomFields.jsx","packages\aero-ui\resources\js\Pages/HRM/Employees/CustomFields.jsx","Found"
"Attendance","Daily Attendance","/hrm/attendance","Pages/HRM/Attendance/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Attendance","Monthly Attendance Calendar","/hrm/attendance","Pages/HRM/Attendance/Calendar.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\HRM\Attendance\AttendanceCalendar.jsx","Found"
"Attendance","Attendance Logs","/hrm/attendance","Pages/HRM/Attendance/Logs.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\Platform\Notifications\DeliveryLogsTable.jsx","Found"
"Attendance","Shift Scheduling","/hrm/shifts","Pages/HRM/Shifts/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Attendance","Attendance Adjustment Requests","/hrm/attendance","Pages/HRM/Attendance/Adjustments.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\IMS\StockAdjustments.jsx","Found"
"Attendance","Attendance Device/IP/Geo Rules","/hrm/attendance","Pages/HRM/Attendance/Rules.jsx","packages\aero-ui\resources\js\Pages/HRM/Attendance/Rules.jsx","Found"
"Attendance","Overtime Rules","/hrm/overtime","Pages/HRM/Overtime/Rules.jsx","packages\aero-ui\resources\js\Pages/HRM/Overtime/Rules.jsx","Found"
"Attendance","My Attendance","/hrm/my-attendance","Pages/HRM/MyAttendance.jsx","packages\aero-ui\resources\js\Pages/HRM/MyAttendance.jsx","Found"
"Leaves","Leave Types","/hrm/leaves","Pages/HRM/Leaves/Types.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\Disciplinary\ActionTypesIndex.jsx","Found"
"Leaves","Leave Balances","/hrm/leaves","Pages/HRM/Leaves/Balances.jsx","packages\aero-ui\resources\js\Pages/HRM/Leaves/Balances.jsx","Found"
"Leaves","Leave Requests","/hrm/leaves","Pages/HRM/LeavesAdmin.jsx","packages\aero-ui\resources\js\Pages/HRM/LeavesAdmin.jsx","Found"
"Leaves","Holiday Calendar","/hrm/holidays","Pages/HRM/Holidays.jsx","packages\aero-ui\resources\js\Pages/HRM/Holidays.jsx","Found"
"Leaves","Leave Policies","/hrm/leaves","Pages/HRM/Leaves/Policies.jsx","packages\aero-ui\resources\js\Pages/HRM/Leaves/Policies.jsx","Found"
"Payroll","Salary Structures","/hrm/payroll","Pages/HRM/Payroll/Structures.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/Structures.jsx","Found"
"Payroll","Salary Components","/hrm/payroll","Pages/HRM/Payroll/Components.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/Components.jsx","Found"
"Payroll","Payroll Run","/hrm/payroll","Pages/HRM/Payroll/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/Index.jsx","Found"
"Payroll","Payslips","/hrm/payroll","Pages/HRM/Payroll/Payslips.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\SelfService\Payslips.jsx","Found"
"Payroll","Tax Setup","/hrm/payroll","Pages/HRM/Payroll/TaxSetup.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/TaxSetup.jsx","Found"
"Payroll","IT/Tax Declarations","/hrm/payroll","Pages/HRM/Payroll/TaxDeclarations.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/TaxDeclarations.jsx","Found"
"Payroll","Loan & Advance Management","/hrm/payroll","Pages/HRM/Payroll/Loans.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/Loans.jsx","Found"
"Payroll","Bank File Generator","/hrm/payroll","Pages/HRM/Payroll/BankFile.jsx","packages\aero-ui\resources\js\Pages/HRM/Payroll/BankFile.jsx","Found"
"Expenses","Expense Claims","/hrm/expenses","Pages/HRM/Expenses/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Expenses","My Expense Claims","/hrm/my-expenses","Pages/HRM/MyExpenses.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\SelfService\MyExpenses.jsx","Found"
"Expenses","Expense Categories","/hrm/expenses","Pages/HRM/Expenses/Categories.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\DMS\Categories.jsx","Found"
"Assets","Asset Inventory","/hrm/assets","Pages/HRM/Assets/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Assets","Asset Allocations","/hrm/assets","Pages/HRM/Assets/Allocations.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\Assets\AssetAllocationsIndex.jsx","Found"
"Assets","Asset Categories","/hrm/assets","Pages/HRM/Assets/Categories.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\DMS\Categories.jsx","Found"
"Disciplinary","Disciplinary Cases","/hrm/disciplinary","Pages/HRM/Disciplinary/DisciplinaryCasesIndex.jsx","packages\aero-ui\resources\js\Pages/HRM/Disciplinary/DisciplinaryCasesIndex.jsx","Found"
"Disciplinary","Warnings","/hrm/disciplinary","Pages/HRM/Disciplinary/WarningsIndex.jsx","packages\aero-ui\resources\js\Pages/HRM/Disciplinary/WarningsIndex.jsx","Found"
"Disciplinary","Action Types","/hrm/disciplinary","Pages/HRM/Disciplinary/ActionTypesIndex.jsx","packages\aero-ui\resources\js\Pages/HRM/Disciplinary/ActionTypesIndex.jsx","Found"
"Recruitment","Job Openings","/hrm/recruitment","Pages/HRM/Recruitment/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/Recruitment/Index.jsx","Found"
"Recruitment","Applicants","/hrm/recruitment","Pages/HRM/Recruitment/Applicants.jsx","packages\aero-ui\resources\js\Pages/HRM/Recruitment/Applicants.jsx","Found"
"Recruitment","Candidate Pipelines","/hrm/recruitment","Pages/HRM/Recruitment/Pipeline.jsx","packages\aero-ui\resources\js\Pages/HRM/Recruitment/Pipeline.jsx","Found"
"Recruitment","Interview Scheduling","/hrm/recruitment","Pages/HRM/Recruitment/Interviews.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\Recruitment\InterviewScheduling.jsx","Found"
"Recruitment","Evaluation Scores","/hrm/recruitment","Pages/HRM/Recruitment/Evaluations.jsx","Not Found","Missing"
"Recruitment","Offer Letters","/hrm/recruitment","Pages/HRM/Recruitment/OfferLetters.jsx","packages\aero-ui\resources\js\Pages/HRM/Recruitment/OfferLetters.jsx","Found"
"Recruitment","Public Job Portal Settings","/hrm/recruitment","Pages/HRM/Recruitment/PortalSettings.jsx","Not Found","Missing"
"Performance","KPI Setup","/hrm/performance","Pages/HRM/Performance/KPI.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\HRM\HR\Performance\KPIBuilder.jsx","Found"
"Performance","Appraisal Cycles","/hrm/performance","Pages/HRM/Performance/Cycles.jsx","packages\aero-ui\resources\js\Pages/HRM/Performance/Cycles.jsx","Found"
"Performance","360? Reviews","/hrm/performance","Pages/HRM/Performance/Reviews360.jsx","packages\aero-ui\resources\js\Pages/HRM/Performance/Reviews360.jsx","Found"
"Performance","Score Aggregation","/hrm/performance","Pages/HRM/Performance/Scores.jsx","Not Found","Missing"
"Performance","Promotion Recommendations","/hrm/performance","Pages/HRM/Performance/Promotions.jsx","Not Found","Missing"
"Performance","Performance Reports","/hrm/performance","Pages/HRM/Performance/Reports.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\TimeOff\Reports.jsx","Found"
"Training","Training Programs","/hrm/training","Pages/HRM/Training/Programs.jsx","packages\aero-ui\resources\js\Pages/HRM/Training/Programs.jsx","Found"
"Training","Training Sessions","/hrm/training","Pages/HRM/Training/Sessions.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\Security\ActiveSessionsCard.jsx","Found"
"Training","Trainers","/hrm/training","Pages/HRM/Training/Trainers.jsx","packages\aero-ui\resources\js\Pages/HRM/Training/Trainers.jsx","Found"
"Training","Enrollment","/hrm/training","Pages/HRM/Training/Enrollment.jsx","packages\aero-ui\resources\js\Pages/HRM/Training/Enrollment.jsx","Found"
"Training","Attendance Tracking (Training)","/hrm/training","Pages/HRM/Training/Attendance.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\AttendanceWidget.jsx","Found"
"Training","Certification Issuance","/hrm/training","Pages/HRM/Training/Certifications.jsx","Not Found","Missing"
"HR Analytics","Workforce Overview","/hrm/analytics","Pages/HRM/Analytics/Workforce.jsx","Not Found","Missing"
"HR Analytics","Turnover Analytics","/hrm/analytics","Pages/HRM/Analytics/Turnover.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\TurnoverWidget.jsx","Found"
"HR Analytics","Attendance Insights","/hrm/analytics","Pages/HRM/Analytics/Attendance.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\AttendanceWidget.jsx","Found"
"HR Analytics","Payroll Cost Analysis","/hrm/analytics","Pages/HRM/Analytics/PayrollCosts.jsx","Not Found","Missing"
"HR Analytics","Recruitment Funnel Analytics","/hrm/analytics","Pages/HRM/Analytics/RecruitmentFunnel.jsx","Not Found","Missing"
"HR Analytics","Performance Insights","/hrm/analytics","Pages/HRM/Analytics/Performance.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\Performance\PerformanceDashboard.jsx","Found"
"Succession Planning","Succession Plans","/hrm/succession-planning","Pages/HRM/SuccessionPlanning/Index.jsx","packages\aero-ui\resources\js\Pages/HRM/SuccessionPlanning/Index.jsx","Found"
"Succession Planning","Succession Candidates","/hrm/succession-planning","Pages/HRM/SuccessionPlanning/Candidates.jsx","Not Found","Missing"
"Career Pathing","Career Paths","/hrm/career-paths","Pages/HRM/CareerPaths/Index.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Components\PropertyEditors\index.jsx","Found"
"Career Pathing","Career Milestones","/hrm/career-paths","Pages/HRM/CareerPaths/Milestones.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Widgets\Project\UpcomingMilestonesWidget.jsx","Found"
"Career Pathing","Employee Progressions","/hrm/career-paths","Pages/HRM/CareerPaths/Progressions.jsx","Not Found","Missing"
"Feedback 360","360? Feedback Reviews","/hrm/feedback-360","Pages/HRM/Feedback360/Reviews.jsx","D:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-ui\resources\js\Pages\HRM\Performance\Reviews360.jsx","Found"
